Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,Bestbench(kg)
F,Raw,18.5,50.16,77.5,100.0,40.0
M,Raw,21.5,81.8,177.5,192.5,120.0
M,Raw,32.5,81.35,190.0,207.5,135.0
M,Raw,15.5,92.6,192.5,210.0,112.5
M,Raw,21.0,96.98,212.5,240.0,152.5
M,Raw,40.0,124.7,215.0,242.5,170.0
M,Raw,24.0,82.4,215.0,227.5,130.0
M,Raw,47.0,109.3,157.5,182.5,132.5
M,Raw,17.0,108.9,192.5,240.0,137.5
M,Single-ply,22.5,82.4,255.0,245.0,172.5
M,Raw,17.0,72.5,180.0,207.5,110.0
M,Raw,21.5,65.6,180.0,182.5,125.0
F,Raw,42.0,65.1,102.5,142.5,55.0
M,Raw,19.0,107.8,260.0,300.0,167.5
M,Raw,25.0,108.9,342.5,347.5,235.0
F,Wraps,34.0,72.6,137.5,140.0,65.0
M,Raw,37.0,103.9,200.0,265.0,125.0
M,Wraps,36.0,109.1,290.0,272.5,202.5
